⌚	ժամացույց	ժամացույց
⌛	ավազի ժամացույց	ավազ|ավազի ժամացույց|ժամաչափ
⏩	արագ առաջ կոճակ	առաջ|արագ|արագ առաջ կոճակ|կրկնակի|սլաք
⏪	արագ հետադարձել կոճակ	արագ հետադարձել կոճակ|արագ հետադարձման կոճակ|արագ հետադարձում կոճակ|կրկնակի|հետադարձում|սլաք
⏫	արագ վերև կոճակ	արագ վերև կոճակ|կրկնակի|սլաք
⏬	արագ ներքև կոճակ	արագ ներքև կոճակ|կրկնակի|ներքև|սլաք
⏰	զարթուցիչ	զարթուցիչ|ժամացույց
⏳	ավազի ժամացույց հոսող ավազով	ավազ|ավազի ժամացույց|ավազի ժամացույց հոսող ավազով|ժամաչափ
◽	սպիտակ միջին-փոքր քառակուսի	երկրաչափական|սպիտակ միջին-փոքր քառակուսի|քառակուսի
◾	սև միջին-փոքր քառակուսի	երկրաչափական|սև միջին-փոքր քառակուսի|քառակուսի
☔	անձրևանոց անձրևի կաթիլներով	անձրև|անձրևանոց|անձրևանոց անձրևի կաթիլներով|եղանակ|կաթիլ|հագուստ
☕	տաք ըմպելիք	ըմպելիք|թեյ|խմել|սուրճ|տաք
♈	Խոյ	Խոյ|կենդանակերպ
♉	Ցուլ	կենդանակերպ|Ցուլ
♊	Երկվորյակներ	Երկվորյակներ|կենդանակերպ
♋	Խեցգետին	Խեցգետին|կենդանակերպ
♌	Առյուծ	Առյուծ|կենդանակերպ
♍	Կույս	կենդանակերպ|Կույս
♎	Կշեռք	արդարադատություն|կենդանակերպ|Կշեռք|հավասարակշռություն
♏	Կարիճ	Կարիճ|կենդանակերպ
♐	Աղեղնավոր	Աղեղնավոր|կենդանակերպ
♑	Այծեղջյուր	այծ|Այծեղջյուր|կենդանակերպ
♒	Ջրհոս	կենդանակերպ|կրող|ջուր|Ջրհոս
♓	Ձկներ	կենդանակերպ|Ձկներ|ձուկ
♿	անվասայլակի նշան	անվասայլակի նշան|մատչելիություն|սայլակ|սայլակի նշան
⚓	խարիսխ	գործիք|խարիսխ|նավ
⚡	բարձր լարում	բարձր լարում|էլեկտրական|էլեկտրականություն|լարում|կայծակ|վտանգ
⚪	սպիտակ շրջան	երկրաչափական|շրջան|սպիտակ շրջան
⚫	սև շրջանակ	երկրաչափական|շրջան|սև շրջան|սև շրջանակ
⚽	ֆուտբոլի գնդակ	գնդակ|ֆուտբոլ|ֆուտբոլի գնդակ
⚾	բեյսբոլ	բեյսբոլ|բեյսբոլի գնդակ|գնդակ
⛄	ձնեմարդ առանց ձյան	եղանակ|ձյուն|ձնեմարդ|ձնեմարդ առանց ձյան|սառը
⛅	արև ամպի հետևում	ամպ|արև|արև ամպի հետևում|եղանակ
⛎	Օձակիր	կենդանակերպ|կրող|օձ|Օձակիր
⛔	մուտք չկա	արգելված|երթևեկություն|մուտք|մուտք չկա|ոչ
⛪	եկեղեցի	եկեղեցի|խաչ|կրոն|շենք|քրիստոնեական
⛲	շատրվան	շատրվան
⛳	գոլֆի դրոշակ	անցք|գոլֆ|գոլֆի դրոշակ
⛵	առագաստանավ	առագաստանավ|զբոսանավ|ծով|հանգստավայր|նավակ|փոխադրամիջոց
⛺	վրան	ճամբար|վրան
⛽	վառելիքի պոմպ	բենզալցակայան|բենզին|կայան|պոմպ|վառելիք|վառելիքի պոմպ
✅	ստուգանշանի կոճակ	✓|թռչնիկ|կոճակ|նշան|ստուգանշան|ստուգանշանի կոճակ
✊	բարձրացված բռունցք	բարձրացված բռունցք|բռունցք|հարված|ձեռք|մարմին|սեղմված
✋	բարձրացված ձեռք	բարձրացված ձեռք|ձեռք|մարմին
✨	կայծեր	աստղ|կայծ|կայծեր
❌	խաչի նշան	բազմապատկում|խաչ|խաչի նշան|նշան|չեղարկել
❎	խաչի նշանով կոճակ	խաչի նշանով կոճակ|նշել|քառակուսի
❓	հարցական նշան	?|կետադրություն|հարց|հարցական նշան|նշան
❔	սպիտակ հարցական նշան	կետադրություն|հարց|նշան|ուրվագծված|սպիտակ հարցական նշան
❕	սպիտակ բացականչական նշան	բացականչություն|կետադրություն|նշան|ուրվագծված|սպիտակ բացականչական նշան
❗	բացականչական նշան	բացականչական նշան|բացականչություն|կետադրություն|նշան
➕	գումարման նշան	+|գումարման նշան|թվաբանություն|մաթեմատիկա|նշան|պլյուս
➖	հանման նշան	-|−|թվաբանություն|հանման նշան|մաթեմատիկա|մինուս|նշան
➗	բաժանում	÷|բաժանման նշան|բաժանում|թվաբանություն|մաթեմատիկա|նշան
➰	ոլորուն հանգույց	հանգույց|ոլորուն հանգույց|ոլորված
➿	կրկնակի ոլորուն հանգույց	կրկնակի|կրկնակի ոլորուն հանգույց|հանգույց|ոլորված
⬛	սև մեծ քառակուսի	երկրաչափական|սև մեծ քառակուսի|քառակուսի
⬜	սպիտակ մեծ քառակուսի	երկրաչափական|սպիտակ մեծ քառակուսի|քառակուսի
⭐	աստղ	աստղ
⭕	կարմիր դատարկ շրջան	կարմիր|կարմիր դատարկ շրջան|մեծ|շրջան|օղակ
🀄	մաջոնգի կարմիր վիշապ	խաղ|կարմիր|մաջոնգ|մաջոնգի կարմիր վիշապ
🃏	ջոկեր	թղթախաղ|թուղթ|խաղ|խաղալ|ծաղրածու|ջոկեր
🆎	էյ-բի կոճակ	ab|արյուն|էյ-բի կոճակ
🆑	սի-էլ	cl|սի-էլ
🆒	ԶԻԼ բառը ուղղանկյունի մեջ	զիլ|ԶԻԼ բառը ուղղանկյունի մեջ
🆓	ԱՆՎՃԱՐ բառը ուղղանկյունի մեջ	ազատ|ԱՆՎՃԱՐ բառը ուղղանկյունի մեջ
🆔	այ-դի	id|այ-դի|ինքնություն
🆕	ՆՈՐ բառը ուղղանկյունի մեջ	նոր|ՆՈՐ բառը ուղղանկյունի մեջ
🆖	էն-ջի	ng|էն-ջի
🆗	օքեյ	ok|օքեյ
🆘	սոս	sos|սոս|օգնել
🆙	ափ կոճակ	up|ափ կոճակ|նշան|վեր
🆚	վի-էս	ընդդեմ|ԸՆԴԴԵՄ կոճակ|վի-էս
🈁	կատականա կոկո	կատականա կոկո|ճապոնական|ճապոներեն
🈚	ժխտում գաղափարագիր	ժխտում գաղափարագիր|ճապոնական|ճապոներեն
🈯	մատ գաղափարագիր	ճապոնական|ճապոներեն|մատ գաղափարագիր
🈲	արգելել գաղափարագիր	արգելել գաղափարագիր|ճապոնական|ճապոներեն
🈳	դատարկ գաղափարագիր	դատարկ գաղափարագիր|չինական|չինարեն
🈴	միասին գաղափարագիր	միասին գաղափարագիր|չինական|չինարեն
🈵	լիություն գաղափարագիր	լիություն գաղափարագիր|չինական|չինարեն
🈶	գոյ գաղափարագիր	գոյ գաղափարագիր|ճապոնական|ճապոներեն
🈸	կիրառել գաղափարագիր	կիրառել գաղափարագիր|չինական|չինարեն
🈹	բաժանել գաղափարագիր	բաժանել գաղափարագիր|ճապոնական|ճապոներեն
🈺	աշխատում է գաղափարագիր	աշխատում է գաղափարագիր|չինական|չինարեն
🉐	առավելություն գաղափարագիր շրջանակի մեջ	առավելություն գաղափարագիր շրջանակի մեջ|ճապոնական|ճապոներեն
🉑	ընդունել գաղափարագիր շրջանակի մեջ	ընդունել գաղափարագիր շրջանակի մեջ|չինական|չինարեն
🌀	ցիկլոն	եղանակ|թայֆուն|պտտվող|ցիկլոն
🌁	մառախլապատ	եղանակ|մառախլապատ|մառախուղ
🌂	փակ անձրևանոց	անձրև|անձրևանոց|եղանակ|հագուստ|փակ անձրևանոց
🌃	աստղազարդ գիշեր	աստղ|աստղազարդ գիշեր|գիշեր|եղանակ
🌄	արևածագը լեռներում	առավոտ|արև|արևածագ|արևածագը լեռներում|եղանակ|լեռ
🌅	արևածագ	առավոտ|արև|արևածագ|եղանակ
🌆	քաղաքային պատկեր մթնշաղին	արև|եղանակ|երեկո|լանդշաֆտ|մայրամուտ|մթնշաղ|շենք|քաղաք|քաղաքային պատկեր մթնշաղին
🌇	մայրամուտ	արև|եղանակ|մայրամուտ|մթնշաղ|շենք
🌈	ծիածան	անձրև|եղանակ|ծիածան
🌉	կամուրջը գիշերով	գիշեր|եղանակ|կամուրջ|կամուրջը գիշերով
🌊	ջրի ալիք	ծով|ջուր|ջրի ալիք|օվկիանոս
🌋	հրաբուխ	եղանակ|ժայթքում|լեռ|հրաբուխ
🌌	ծիր կաթին	եղանակ|ծիր կաթին|տիեզերք
🌍	Եվրոպան և Աֆրիկան պատկերող գլոբուս	աշխարհ|Աֆրիկա|գլոբուս|Եվրոպա|Եվրոպան և Աֆրիկան պատկերող գլոբուս|երկիր
🌎	Ամերիկաները պատկերող գլոբուս	Ամերիկաներ|Ամերիկաները պատկերող գլոբուս|աշխարհ|գլոբուս|երկիր
🌏	Ասիան և Ավստրալիան պատկերող գլոբուս	աշխարհ|Ասիա|Ասիան և Ավստրալիան պատկերող գլոբուս|Ավստրալիա|գլոբուս|երկիր
🌐	միջօրեականներով գլոբուս	աշխարհ|գլոբուս|երկիր|միջօրեականներ|միջօրեականներով գլոբուս
🌑	նորալուսին	եղանակ|լուսին|մութ|նորալուսին|տիեզերք
🌒	աճող մահիկ	աճող|եղանակ|լուսին|մահիկ|տիեզերք
🌓	լուսինն առաջին քառորդում	եղանակ|լուսին|լուսինն առաջին քառորդում|տիեզերք|քառորդ
🌔	աճող ուռուցիկ լուսին	աճող|եղանակ|լուսին|ուռուցիկ|տիեզերք
🌕	լիալուսին	եղանակ|լիալուսին|լուսին|տիեզերք
🌖	նվազող ուռուցիկ լուսին	եղանակ|լուսին|նվազող|ուռուցիկ|տիեզերք
🌗	լուսինը երկրորդ քառորդում	եղանակ|լուսին|լուսինը երկրորդ քառորդում|տիեզերք|քառորդ
🌘	նվազող մահիկ	եղանակ|լուսին|մահիկ|նվազող|տիեզերք
🌙	մահիկ	եղանակ|լուսին|մահիկ|տիեզերք
🌚	դեմքով նորալուսին	դեմք|դեմքով նորալուսին|եղանակ|լուսին|տիեզերք
🌛	լուսինն առաջին քառորդում դեմքով	դեմք|եղանակ|լուսին|լուսինն առաջին քառորդում դեմքով|տիեզերք|քառորդ
🌜	լուսինը երկրորդ քառորդում դեմքով	դեմք|եղանակ|լուսին|լուսինը երկրորդ քառորդում դեմքով|տիեզերք|քառորդ
🌝	դեմքով լիալուսին	դեմք|դեմքով լիալուսին|եղանակ|լիալուսին|լուսին|պայծառ|տիեզերք
🌞	դեմքով արև	արև|դեմք|դեմքով արև|եղանակ|պայծառ|տիեզերք
🌟	փայլող աստղ	աստղ|կայծ|շողացող|փայլող աստղ
🌠	ընկնող աստղ	աստղ|ընկնող|տիեզերք
🌭	հոթդոգ	հոթդոգ|նրբերշիկ|ֆրանկֆուրտեր
🌮	տակո	մեքսիկական|տակո
🌯	բուրիտո	բուրիտո|բրդուճ|մեքսիկական|պատառ
🌰	շագանակ	բույս|շագանակ
🌱	ծիլ	բույս|ծիլ|մատղաշ
🌲	եղևնի	բույս|եղևնի|ծառ
🌳	սաղարթավոր ծառ	բույս|ծառ|սաղարթավոր
🌴	արմավենի	արմավենի|բույս|ծառ
🌵	կակտուս	բույս|կակտուս
🌷	կակաչ	բույս|ծաղիկ|կակաչ
🌸	բալենու ծաղիկ	բալ|բալենու ծաղիկ|բույս|ծաղիկ
🌹	վարդ	բույս|ծաղիկ|վարդ
🌺	բաղրջուկ	բաղրջուկ|բույս|ծաղիկ|հիբիսկուս
🌻	արևածաղիկ	արև|արևածաղիկ|բույս|ծաղիկ
🌼	ծաղիկ	բույս|ծաղիկ
🌽	եգիպտացորեն	ականջ|բույս|եգիպտացորեն
🌾	բրնձի հասկեր	ականջ|բույս|բրինձ|բրնձի հասկեր
🌿	բույս	բույս|տերեւ
🍀	քառատերև երեքնուկ	4|բույս|երեքնուկ|չորս|տերև|քառատերև երեքնուկ
🍁	թխկու տերև	բույս|ընկնող|թխկի|թխկու տերև|տերև
🍂	ընկած տերև	բույս|ընկած տերև|ընկնող|տերև
🍃	ճախրող տերևներ	բույս|թրթռալ|ճախրող տերևներ|տերև|փչել|քամի
🍄	սունկ	բույս|սունկ
🍄‍🟫	շագանակագույն սունկ	բնություն|բորբոս|բուսական|բուսակեր|բուսակերական|դարչնագույն սունկ|լցոնումներ|ծիլ|շամպինյոն|շիտակե|պիցցայի լցոնումներ|սնունդ|սունկ|սպոր|տրյուֆել
🍅	լոլիկ	բանջարեղեն|բույս|լոլիկ
🍆	սմբուկ	բանջարեղեն|բույս|սմբուկ
🍇	խաղող	բույս|խաղող|պտուղ
🍈	սեխ	բույս|պտուղ|սեխ
🍉	ձմերուկ	բույս|ձմերուկ|պտուղ
🍊	մանդարին	բույս|մանդարին|նարինջ|պտուղ
🍋	կիտրոն	բույս|կիտրոն|պտուղ|ցիտրուս
🍋‍🟩	լայմ	արեւադարձային|զարդարել|թանձր|թարմացնող|թթու|կիտրոն|կոկտեյլ|համ|միրգ|մոխիտո|սալսա|տեկիլա
🍌	բանան	բանան|բույս|պտուղ
🍍	արքայախնձոր	արքայախնձոր|բույս|պտուղ
🍎	կարմիր խնձոր	բույս|խնձոր|կարմիր|պտուղ
🍏	կանաչ խնձոր	բույս|խնձոր|կանաչ|պտուղ
🍐	տանձ	բույս|պտուղ|տանձ
🍑	դեղձ	բույս|դեղձ|պտուղ
🍒	բալ	բալ|բույս|պտուղ
🍓	ելակ	բույս|ելակ|հատապտուղ|պտուղ
🍔	համբուրգեր	բուրգեր|համբուրգեր
🍕	պիցցա	կտոր|պանիր|պիցցա
🍖	ոսկորով միս	միս|ոսկոր|ոսկորով միս
🍗	հավի բուդ	բուդ|թռչնամիս|հավ|հավի բուդ|ոսկոր
🍘	բրնձի կրեկեր	բրինձ|բրնձի կրեկեր|կրեկեր
🍙	բրնձի գնդիկ	բրինձ|բրնձի գնդիկ|գնդիկ|ճապոնական
🍚	եփած բրինձ	բրինձ|եփած
🍛	քարրիով բրինձ	բրինձ|կարրի|քարրիով բրինձ
🍜	տաք ապուր	գոլորշի|թաս|լապշա|ռամեն|ռամյոն|տաք ապուր|տաք ուտեստ
🍝	սպագետի	մակարոնեղեն|սպագետի
🍞	հաց	բոքոն|հաց
🍟	տապակած կարտոֆիլ	կարտոֆիլ|տապակած կարտոֆիլ
🍠	բոված քաղցր կարտոֆիլ	բոված|կարտոֆիլ|քաղցր
🍡	դանգո	աղանդեր|դանգո|ճապոնական|շամփուր|փայտիկ|քաղցր
🍢	օդեն	ծովամթերք|շամփուր|փայտիկ|քյաբաբ|օդեն
🍣	սուշի	սուշի
🍤	տապակած ծովախեցգետին	ծովախեցգետին|տապակած
🍥	ձկնային տորթ պտտանախշով	խմորեղեն|ձկնային տորթ պտտանախշով|ձուկ|պտտանախշ|տորթ
🍦	լցնովի պաղպաղակ	աղանդեր|լցնովի|կրեմ|պաղպաղակ|քաղցր
🍧	մանրացված սառույց	աղանդեր|մանրացված|սառույց|քաղցր
🍨	պաղպաղակ	աղանդեր|կրեմ|պաղպաղակ|քաղցր
🍩	դոնաթ	աղանդեր|դոնաթ|քաղցր
🍪	թխվածքաբլիթ	աղանդեր|թխվածքաբլիթ|քաղցր
🍫	շոկոլադե սալիկ	աղանդեր|շոկոլադ|շոկոլադե սալիկ|սալիկ|քաղցր
🍬	կոնֆետ	աղանդեր|կոնֆետ|քաղցր
🍭	սառնաշաքար	աղանդեր|կոնֆետ|սառնաշաքար|քաղցր
🍮	պուդինգ	աղանդեր|պուդինգ|քաղցր
🍯	մեղրի կճուճ	կճուճ|մեղր|մեղրի կճուճ|քաղցր
🍰	տորթի կտոր	աղանդեր|խմորեղեն|կտոր|տորթ|տորթի կտոր|քաղցր
🍱	բենտո արկղ	արկղ|բենտո
🍲	թասով ճաշ	թաս|թասով ճաշ|ճաշ
🍳	եփում	եփել|եփում|թավա|թավայով ձվածեղ|ձու|նախաճաշ|տապակել
🍴	պատառաքաղ և դանակ	դանակ|եփել|խոհարարություն|պատառաքաղ|պատառաքաղ և դանակ|սպասք
🍵	թեյի բաժակ առանց բռնակի	բաժակ|ըմպելիք|թեյ|թեյի բաժակ|թեյի բաժակ առանց բռնակի|խմել
