⌚	montre	heure|montre
⌛	sablier	chronomètre|minuteur|sable|sablier|temps
⏩	bouton avance rapide	avance|avance rapide|bouton|bouton avance rapide|double flèche|flèche Avance rapide
⏪	bouton retour rapide	bouton|bouton retour rapide|double flèche|flèche|flèche Retour rapide|retour|retour rapide
⏫	double flèche vers le haut	double flèche vers le haut|flèche double|flèche vers le haut|haut|rapide
⏬	double flèche vers le bas	bas|double flèche vers le bas|flèche double|flèche vers le bas|rapide
⏰	réveil	alarme|attendre|dring|heure|matin|retard|réveil|sonnerie
⏳	sablier avec sable qui coule	attendre|chronomètre|minuteur|sable|sablier|sablier avec sable qui coule|temps
◽	carré petit moyen blanc	carré|carré petit moyen blanc|forme|géométrie
◾	carré petit moyen noir	carré|carré petit moyen noir|forme|géométrie
☔	parapluie avec gouttes de pluie	gouttes|météo|parapluie|parapluie avec gouttes|parapluie avec gouttes de pluie|pluie
☕	boisson chaude	boisson|boisson chaude|café|caféine|matin|thé
♈	bélier zodiaque	astrologie|Bélier|horoscope|zodiaque
♉	taureau	astrologie|horoscope|taureau|Taureau|zodiaque
♊	gémeaux	astrologie|gémeaux|Gémeaux|horoscope|zodiaque
♋	cancer	astrologie|cancer|Cancer|crabe|horoscope|zodiaque
♌	lion	astrologie|horoscope|lion|Lion|zodiaque
♍	vierge	astrologie|horoscope|vierge|Vierge|zodiaque
♎	balance	astrologie|balance|Balance|horoscope|justice|zodiaque
♏	scorpion zodiaque	astrologie|horoscope|Scorpion|zodiaque
♐	sagittaire	astrologie|horoscope|sagittaire|Sagittaire|zodiaque
♑	capricorne	astrologie|capricorne|Capricorne|chèvre|horoscope|zodiaque
♒	verseau	astrologie|eau|horoscope|verseau|Verseau|zodiaque
♓	poissons	astrologie|horoscope|poissons|Poissons|zodiaque
♿	symbole Accès handicapés	accès|accès handicapés|fauteuil roulant|mobilité réduite|symbole Accès handicapés
⚓	ancre	ancre|bateau|outil|voyage
⚡	haute tension	courant|danger|éclair|électricité|haute tension|nature|orage|symbole haute tension|tension|vitesse
⚪	disque blanc	blanc|cercle|disque blanc|forme géométrique|géométrie|rond
⚫	disque noir	cercle|disque noir|forme géométrique|géométrie|noir|rond
⚽	ballon de football	balle|ballon|ballon de football|football|sport
⚾	baseball	balle|balle de baseball|baseball|sport
⛄	bonhomme de neige sans neige	bonhomme de neige|bonhomme de neige sans flocons|bonhomme de neige sans neige|froid|neige
⛅	soleil derrière les nuages	caché|météo|nuage|nuageux|soleil|soleil derrière les nuages|soleil derrière nuages
⛎	serpentaire	ophiuchus|Ophiuchus|serpent|serpentaire|zodiaque
⛔	sens interdit	circulation|entrée interdite|interdiction|interdit|non|panneau|sens interdit
⛪	église	bâtiment|chapelle|chrétien|croix|église|religion|voyage
⛲	fontaine	eau|fontaine
⛳	drapeau de golf	drapeau de golf|golf|sport|trou
⛵	voilier	bateau|mer|moyen de transport|plaisance|voilier|voyage|yacht
⛺	tente	camping|nature|tente|voyage
⛽	pompe à essence	diesel|essence|gazole|pompe à essence|station
✅	bouton coché	✓|bouton coché|carré|coche|coche blanche|marque|OK|oui|sélection|terminé|voilà
✊	poing levé	main|pierre|poing|poing levé|poing serré|solidarité
✋	main levée	feuille|main|main levée|paume de la main|stop|tope là
✨	étincelles	*|étincelles|étoile|étoiles|magie|nuit|nuit étoilée|scintiller
❌	croix	×|annuler|croix|croix rouge|multiplication|multiplier|x
❎	bouton croix	×|bouton croix|croix|multiplier|vert|x
❓	point d’interrogation rouge	?|interrogation|point d’interrogation|point d’interrogation rouge|ponctuation|question
❔	point d’interrogation blanc	?|interrogation|point d’interrogation blanc|ponctuation|question
