⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
⌛	Sanduhr	Prozess|Sanduhr|Vorgang läuft|Zeit
⏩	Doppelpfeile nach rechts	Doppelpfeil|Doppelpfeile nach rechts|überspringen|vorwärts|weiter
⏪	Zurückspulen	Doppelpfeil|Doppelpfeile nach links|Dreieck|Pfeil|vorheriger Titel|zurück|Zurückspulen
⏫	Doppelpfeile nach oben	aufwärts|Doppelpfeil|Doppelpfeile nach oben|doppelt|nach oben|Pfeil
⏬	Doppelpfeile nach unten	Doppelpfeil|Doppelpfeile nach unten|doppelt abwärts|nach unten|Pfeil
⏰	Wecker	Uhr|Uhrzeit|Wecker|Zeit
⏳	laufende Sanduhr	laufende Sanduhr|Laufende Sanduhr|Prozess|Sanduhr|Vorgang läuft
◽	mittelkleines weißes Quadrat	geometrisch|mittelkleines weißes Quadrat|Mittelkleines weißes Quadrat|Quadrat|weiß
◾	mittelkleines schwarzes Quadrat	mittelkleines schwarzes Quadrat|Mittelkleines schwarzes Quadrat|Quadrat|schwarz
☔	Regenschirm im Regen	Regen|Regenschirm|Regenschirm im Regen
☕	Heißgetränk	Cafe|dampfend|Getränk|heiß|Heißgetränk|Kaffee|Tasse|Tee|trinken
♈	Widder (Sternzeichen)	Sternzeichen|Widder|Widder (Sternzeichen)
♉	Stier (Sternzeichen)	Horoskop|Sternzeichen|Stier
♊	Zwillinge (Sternzeichen)	Horoskop|Sternzeichen|Zwilling|Zwillinge|Zwillinge (Sternzeichen)
♋	Krebs (Sternzeichen)	Krebs|Krebs (Sternzeichen)|Sternzeichen
♌	Löwe (Sternzeichen)	Horoskop|Löwe|Löwe (Sternzeichen)|Sternzeichen
♍	Jungfrau (Sternzeichen)	Horoskop|Jungfrau|Jungfrau (Sternzeichen)|Sternzeichen
♎	Waage (Sternzeichen)	Horoskop|Sternzeichen|Waage|Waage (Sternzeichen)
♏	Skorpion (Sternzeichen)	Horoskop|Skorpion|Skorpion (Sternzeichen)|Sternzeichen
♐	Schütze (Sternzeichen)	Schütze|Schütze (Sternzeichen)|Sternzeichen
♑	Steinbock (Sternzeichen)	Steinbock|Steinbock (Sternzeichen)|Sternzeichen
♒	Wassermann (Sternzeichen)	Sternzeichen|Wassermann|Wassermann (Sternzeichen)
♓	Fische (Sternzeichen)	Fische|Fische (Sternzeichen)|Horoskop|Sternzeichen
♿	Symbol „Rollstuhl“	barrierefrei|behindertengerecht|Rollstuhl|Symbol „Rollstuhl“
⚓	Anker	Anker|Hafen|Meer
⚡	Hochspannung	Blitz|Elektrizität|Gefahr|Gewitter|Hochspannung|Hochspannungszeichen|Strom
⚪	weißer Punkt	Ball|Großer weißer Kreis|Kreis|Punkt|weiß|weißer Punkt
⚫	schwarzer Punkt	Ball|Großer schwarzer Kreis|Kreis|Punkt|rund|schwarz|schwarzer Punkt
⚽	Fußball	Ball|Bundesliga|Fußball|Messi
⚾	Baseball	Ball|Baseball
⛄	Schneemann ohne Schneeflocken	kalt|Schnee|Schneemann|Schneemann ohne Schneeflocken|Winter
⛅	Sonne hinter Wolke	Sonne|Sonne hinter Wolke|Wolke|wolkig
⛎	Schlangenträger	Schlagenträger|Schlangenträger|Sternbild
⛔	Zutritt verboten	Einbahnstrasse|kein Zutritt|keine Durchfahrt|verboten|Zutritt verboten|Zutritt-verboten-Schild
⛪	Kirche	Christ|Christentum|christlich|Gebäude|Kirche|Kreuz|Religion
⛲	Springbrunnen	Brunnen|Garten|Park|Springbrunnen
⛳	Golffahne	Golffahne|Golfplatz
⛵	Segelboot	Boot|Segelboot
⛺	Zelt	Camping|Campingurlaub|Zelt|Zeltplatz
⛽	Tanksäule	Benzin|Tanke|tanken|Tanksäule|Tankstelle
✅	weißes Häkchen	abgehakt|erledigt|weißes Häkchen|Weißes Häkchen
✊	erhobene Faust	erhoben|Faust|Hand|Kampf|Solidarität
✋	erhobene Hand	5|erhoben|halt|Hand|Handfläche|high five|schlag ein|Stopp|warte
✨	funkelnde Sterne	*|funkel|funkeln|funkelnde Sterne|Funkelnde Sterne|Sterne
❌	Kreuzzeichen	abbrechen|durchgestrichen|Kreuzzeichen|mal|Multiplikation|multiplizieren|Rotes Kreuz|x
❎	angekreuztes Kästchen	angekreuztes Feld|angekreuztes Kästchen|Feld|Kreuz|Kreuzsymbol im Quadrat|Quadrat|X
❓	rotes Fragezeichen	Frage|Fragezeichen|rot|rotes Fragezeichen|Rotes Fragezeichen|Satzzeichen|warum|wieso
