⌚	zegarek	godzina|zegarek
⌛	klepsydra	czas|klepsydra|odmierzać|piasek
⏩	przycisk szybkiego przewijania do przodu	do przodu|podwójna|przewiń|przycisk szybkiego przewijania do przodu|strzałka|szybkie przewijanie|trójkąt
⏪	przycisk szybkiego przewijania do tyłu	do tyłu|podwójna|przewiń|przycisk szybkiego przewijania do tyłu|strzałka|szybkie przewijanie|trójkąt|w lewo|wstecz
⏫	przycisk „szybko w górę”	do góry|podwójna|przycisk „szybko w górę”|strzałka|w górę
⏬	przycisk „szybko w dół”	na dół|podwójna|przycisk „szybko w dół”|strzałka|w dół
⏰	budzik	budzik|zegar
⏳	klepsydra z przesypującym się piaskiem	czas|klepsydra|klepsydra z przesypującym się piaskiem|odmierzać|piasek
◽	mały/średni biały kwadrat	biały|figura geometryczna|kwadracik|kwadrat|mały/średni biały kwadrat
◾	mały/średni czarny kwadrat	czarny|figura geometryczna|kwadrat|mały|mały/średni czarny kwadrat
☔	parasol z kroplami deszczu	deszcz|opady|pada|parasol|parasol z kroplami deszczu|parasolka|pogoda
☕	gorący napój	filiżanka|gorąca|gorący|herbata|kawa|napój|parująca|picie
♈	Baran	baran|Baran|znak zodiaku|zodiak
♉	Byk	byk|Byk|znak zodiaku|zodiak
♊	Bliźnięta	bliźnięta|Bliźnięta|znak zodiaku|zodiak
♋	Rak	rak|Rak|znak zodiaku|zodiak
♌	Lew	lew|Lew|znak zodiaku|zodiak
♍	Panna	panna|Panna|znak zodiaku|zodiak
♎	Waga	waga|Waga|znak zodiaku|zodiak
♏	Skorpion	skorpion|Skorpion|znak zodiaku|zodiak
♐	Strzelec	strzelec|Strzelec|znak zodiaku|zodiak
♑	Koziorożec	koziorożec|Koziorożec|znak zodiaku|zodiak
♒	Wodnik	wodnik|Wodnik|znak zodiaku|zodiak
♓	Ryby	ryby|Ryby|znak zodiaku|zodiak
♿	symbol wózka inwalidzkiego	dostępność|inwalida|inwalidzki|inwalidzkiego|na wózku|niepełnosprawność|niepełnosprawny|symbol|wózek|wózka|znak
⚓	kotwica	kotwica|morze|ocean|okręt|przyrząd|statek
⚡	wysokie napięcie	błysk|błyskawica|elektryczność|napięcie|niebezpieczeństwo|piorun|prąd|wysokie napięcie
⚪	białe koło	białe|figura geometryczna|kółko|koło
⚫	czarne koło	czarne|figura geometryczna|kółko|koło
⚽	piłka nożna	futbolówka|mecz|nożna|piłka|sport
⚾	baseball	baseball|mecz|piłka|sport
⛄	bałwanek bez śniegu	bałwan|bałwan bez śniegu|bałwanek|bałwanek bez śniegu|pogoda|śnieg|zabawa na śniegu|zimno
⛅	słońce zza chmury	chmura|pogoda|słońce|słońce zza chmury
⛎	Wężownik	wężownik|Wężownik|znak zodiaku|zodiak
⛔	zakaz wjazdu	wejście|wstęp|zabroniony|zakaz|zakaz wjazdu
⛪	kościół	chrześcijański|kościół|krzyż|religia|świątynia
⛲	fontanna	fontanna
⛳	flaga w dołku	flaga w dołku|golf|otwór|pole golfowe|sport
⛵	żaglówka	jacht|łódka|łódź|morze|statek|wakacje|żaglówka
⛺	namiot	kemping|namiot|obóz|pole namiotowe
⛽	dystrybutor paliwa	benzyna|dystrybutor|dystrybutor paliwa|stacja benzynowa|stacja paliw|tankować
✅	przycisk ze znacznikiem wyboru	parafka|przycisk ze znacznikiem wyboru|ptaszek|tak|zaznaczenie|znacznik wyboru
✊	wzniesiona pięść	pięść|ręka|uniesiona|wzniesiona pięść|zaciśnięta
✋	wzniesiona dłoń	dłoń|ręka|stop|uwaga|wzniesiona dłoń
✨	gwiazdki	*|błysk|gwiazda|gwiazdki|gwiazdy|iskry|noc|świecący|świeci
❌	znak krzyżyka	×|anuluj|czerwony|krzyżyk|mnożenie|x|znak|znak krzyżyka|znak mnożenia
❎	przycisk z krzyżykiem	anuluj|iks|iks w kwadracie|krzyżyk w kwadracie|mnożenie|przycisk z krzyżykiem|x
❓	czerwony znak zapytania	?|co?|czerwony znak zapytania|o co chodzi|o co chodzi?|pytajnik|pytanie|znak zapytania
❔	biały znak zapytania	?|biały znak zapytania|co?|o co chodzi?|pytajnik|pytanie|znak zapytania
❕	biały wykrzyknik	!|biały wykrzyknik|krzyk|okrzyk|wykrzyknik
❗	czerwony wykrzyknik	!|czerwony wykrzyknik|krzyk|okrzyk|wykrzyknik
➕	znak plus	+|dodać|dodawać|dodawanie|matematyka|plus|znak
➖	znak minus	-|−|matematyka|minus|odejmowanie|odjąć|znak
➗	znak dzielenia	÷|dzielenie|matematyka|znak|znak dzielenia
➰	pętla	pętla|zawijas|znak
➿	podwójna pętla	pętla|podwójna|zawijas
⬛	duży czarny kwadrat	czarny|duży|figura geometryczna|kwadrat|średni
⬜	duży biały kwadrat	biały|duży|figura geometryczna|kwadrat
⭐	gwiazda	gwiazda|gwiazdka|noc
⭕	gruby czerwony okrąg	czerwone|gruby czerwony okrąg|kółko|koło|o|okrąg
🀄	madżong: czerwony smok	czerwony|gra|kafelek|madżong|mahjong|smok
🃏	dżoker	dżoker|gra|joker|karta
🆎	grupa krwi AB	AB|grupa AB|grupa krwi AB|krew
🆑	przycisk CL	przycisk CL|znak CL
🆒	przycisk COOL	aprobata|cool|przycisk COOL|świetnie|zachwyt|znak
🆓	przycisk FREE	przycisk FREE|za darmo|znak braku opłaty|znak FREE
🆔	przycisk ID	ID|identyfikator|przycisk ID|znak ID
🆕	przycisk NEW	NEW|nowość|nowy|przycisk NEW
🆖	przycisk NG	NG|niedobrze|przycisk NG|źle|znak
🆗	przycisk OK	dobrze|OK|przycisk|tak|w porządku|zgoda
🆘	przycisk SOS	na pomoc|przycisk|ratunek|ratunku|SOS
🆙	przycisk UP!	do góry|przycisk UP!|znak UP!
🆚	przycisk VS	kontra|przycisk VS|versus|VS
🈁	japoński przycisk „tutaj”	ideogram|japoński|koko|przycisk|tutaj|znak
🈚	japoński przycisk „bezpłatne”	bezpłatne|darmowe|ideogram|japoński|negacja|przycisk|za darmo
🈯	japoński przycisk „zarezerwowane”	ideogram|japoński|palec|przycisk|zarezerwowane|zarezerwowany
🈲	japoński przycisk „zabronione”	ideogram|japoński|przycisk|zabronione|zakaz
🈳	japoński przycisk „wolne miejsce”	ideogram|japoński|miejsce|przycisk|puste|pusty|wolne|wolny
🈴	japoński przycisk „ocena pozytywna”	ideogram|japoński|ocena|pozytywna|przycisk|razem|zaliczenie
🈵	japoński przycisk „brak wolnych miejsc”	brak|ideogram|japoński|miejsc|pełno|pełny|przycisk|wypełnienie
🈶	japoński przycisk „płatne”	ideogram|istnienie|japoński|płatne|przycisk|za opłatą
🈸	japoński przycisk „wniosek”	aplikacja|ideogram|japoński|przycisk|wniosek|zastosowanie
🈹	japoński przycisk „rabat”	ideogram|japoński|podział|przecena|przycisk|rabat
🈺	japoński przycisk „czynne”	czynne|działa|ideogram|japoński|otwarte|przycisk
🉐	japoński przycisk „okazja”	ideogram|japoński|korzyść|okazja|promocja|przewaga|przycisk
🉑	japoński przycisk „dozwolone”	akceptacja|dozwolone|ideogram|japoński|przycisk
🌀	cyklon	cyklon|pogoda|spirala|tajfun
🌁	zamglenie	mgła|mglisto|most|podróż|pogoda|zamglenie|zamglone
🌂	złożony parasol	deszcz|parasolka|pogoda|złożona|złożony parasol
🌃	noc z gwiazdami	gwiazdy|miasto|noc|noc z gwiazdami|rozgwieżdżone niebo
🌄	wschód słońca zza gór	góry|ranek|słońce|świt|wschód|wschód słońca zza gór
🌅	wschód słońca	brzask|słońce|wschód słońca
🌆	miasto o zmierzchu	budynki|miasto|miasto o zmierzchu|wieżowce|zachód słońca|zmierzch
🌇	zachód słońca	budynki|miasto|zachód słońca|zmierzch
