⌚	reloj	reloj
⌛	reloj de arena sin tiempo	arena|reloj|reloj de arena sin tiempo|temporizador
⏩	avance rápido	avance rápido|avanzar|doble|flecha
⏪	retroceso rápido	flecha|flecha doble a la izquierda|izquierda|rebobinado|rebobinar|retroceso rápido
⏫	triángulo doble hacia arriba	arriba|flecha|triángulo doble hacia arriba
⏬	triángulo doble hacia abajo	triángulo|triángulo doble abajo|triángulo doble hacia abajo
⏰	reloj despertador	alarma|despertador|reloj
⏳	reloj de arena con tiempo	reloj con arena cayendo|reloj de arena con tiempo|temporizador
◽	cuadrado blanco mediano-pequeño	blanco|cuadrado|cuadrado blanco mediano-pequeño|geometría
◾	cuadrado negro mediano-pequeño	cuadrado|cuadrado negro mediano-pequeño|geometría|negro
☔	paraguas con gotas de lluvia	gotas|lluvia|paraguas|paraguas con gotas de lluvia
☕	bebida caliente	bebida|café|caliente|té
♈	Aries	Aries|carnero|horóscopo|zodiaco
♉	Tauro	buey|horóscopo|Tauro|toro|zodiaco
♊	Géminis	gemelos|Géminis|horóscopo|zodiaco
♋	Cáncer	Cáncer|cangrejo|horóscopo|zodiaco
♌	Leo	horóscopo|Leo|león|zodiaco
♍	Virgo	horóscopo|Virgo|zodiaco
♎	Libra	balanza|escala|horóscopo|justicia|Libra|zodiaco
♏	Escorpio	Escorpio|escorpión|horóscopo|zodiaco
♐	Sagitario	arquero|horóscopo|Sagitario|zodiaco
♑	Capricornio	cabra|Capricornio|horóscopo|zodiaco
♒	Acuario	Acuario|agua|horóscopo|zodiaco
♓	Piscis	horóscopo|pescado|pez|Piscis|zodiaco
♿	símbolo de silla de ruedas	acceso|señal|silla|silla de ruedas|símbolo|símbolo de silla de ruedas
⚓	ancla	ancla|barco|gancho
⚡	alto voltaje	alto voltaje|electricidad|peligro|peligro de alto voltaje|señal de alto voltaje|voltaje
⚪	círculo blanco	círculo|círculo blanco|geometría
⚫	círculo negro	círculo|círculo negro|geometría
⚽	balón de fútbol	balón|balón de fútbol|fútbol
⚾	béisbol	balón|baseball|béisbol|pelota
⛄	muñeco de nieve	muñeco de nieve|muñeco de nieve sin nieve|nieve
⛅	sol detrás de una nube	nube|sol|sol con nubes|sol detrás de una nube
⛎	Ofiuco	horóscopo|Ofiuco|portador|serpiente|zodiaco
⛔	dirección prohibida	dirección prohibida|no|prohibido|señal|señal de dirección prohibida
⛪	iglesia	cristianismo|cruz|edificio|iglesia|religión
⛲	fuente	fuente
⛳	banderín en hoyo	banderín|banderín en hoyo|golf|hoyo
⛵	velero	barco|barco de vela|velero|yate
⛺	tienda de campaña	campaña|camping|tienda|tienda de campaña|vacaciones
⛽	surtidor de gasolina	bomba de gasolina|combustible|gasolina|surtidor|surtidor de gasolina
✅	botón de marca de verificación	✓|botón|botón de marca de verificación|marca|selección|verificación
✊	puño en alto	cerrado|mano|puñetazo|puño|puño en alto
✋	mano levantada	choca esos cinco|levantada|mano
✨	chispas	*|bengala|chispas|estrellas
❌	marca de cruz	×|cancelar|cruz|marca de cruz|marca de tachado|tachar|x
❎	botón con marca de cruz	×|botón con marca de cruz|casilla|cruz|marca|x
❓	interrogación roja	?|interrogación|interrogación roja|pregunta|puntuación|signo de interrogación
❔	interrogación blanca	?|interrogación|interrogación blanca|pregunta|puntuación
❕	exclamación blanca	!|exclamación|exclamación blanca|puntuación
❗	exclamación roja	!|exclamación|exclamación roja|puntuación|signo de exclamación
➕	más	+|más|signo|suma
➖	menos	-|−|menos|resta|signo
➗	división	÷|división|signo|signo de división
➰	bucle	bucle|giro|tirabuzón
➿	bucle doble	bucle|doble
⬛	cuadrado negro grande	cuadrado|cuadrado negro grande|geometría|negro
⬜	cuadrado blanco grande	blanco|cuadrado|cuadrado blanco grande|geometría
⭐	estrella	estelar|estrella
⭕	círculo rojo hueco	aro|círculo|círculo rojo hueco|o|rojo
🀄	dragón rojo de mahjong	dragón rojo|dragón rojo de mahjong|juego|mahjong
🃏	comodín	comodín|joker
🆎	grupo sanguíneo AB	AB|grupo|sanguíneo|tipo AB
🆑	borrar	borrar|símbolo
🆒	botón COOL	botón|cool|mola
🆓	botón FREE	botón FREE|gratis|símbolo gratis
🆔	símbolo de identificación	ID|identidad|símbolo de identificación|símbolo identidad
